"V1","V2","V3"
"0.88","Milano Lambrate","Milano - Via Juvara"
"0.72","San Colombano Al Lambro","Cavenago D'Adda"
"0.67","Varzi Nivione","Fortunago"
"0.86","Sondrio Fondfojanini","Caiolo"
"0.8","Samolaco - Via Vignola","Vercana"
"0.7","Gonzaga Palidano","Pieve San Giacomo"
"0.61","Cassina Valsassina Moggio","San Giovanni Bianco Cornalita"
"0.85","Landriano Cascina Marianna","Lacchiarella - Via Molise"
"0.8","San Giovanni Bianco Cornalita","Brembilla"
"0.83","Cavenago D'Adda","Crema - Via XI Febbraio"
"0.81","Casatenovo Tetto","Lurago Marinone"
"0.74","Capo Di Ponte - Via Briscioli","San Giovanni Bianco Cornalita"
"0.77","Bergamo - Via Stezzano","Osio Sotto - Via Per Levate"
"0.81","Corzano Bargnano","Chiari"
"0.86","Persico Dosimo","Pieve San Giacomo"
"0.83","Rivolta D'Adda Ist Spallanzani","Milano - Via Juvara"
"0.82","Vertemate Con Minoprio Serre","Saronno - Via Santuario"
"0.86","Caiolo","Sondrio Fondfojanini"
"0.85","Livigno Passo Foscagno","Valdisotto Oga San Colombano"
"0.76","Madesimo Spluga","San Giacomo Filippo Lago Truzzo"
"0.81","Darfo Boario Terme","Costa Volpino - Via Nazionale"
"0.63","Mezzoldo Passo San Marco","Madesimo Spluga"
"0.84","Cinisello Balsamo Parco Nord","Milano Lambrate"
"0.88","Arconate SMR","Ferno - Via Di Dio"
"0.86","Pieve San Giacomo","Persico Dosimo"
"0.9","Mantova Lunetta SMR","Bigarello"
"0.9","Bigarello","Mantova Lunetta SMR"
"0.88","Milano - Via Juvara","Milano Lambrate"
"0.65","Trezzo Sulladda - Via Nenni","Cinisello Balsamo Parco Nord"
"0.86","Corsico - Viale Italia","Lacchiarella - Via Molise"
"0.86","Lacchiarella - Via Molise","Corsico - Viale Italia"
"0.82","Saronno - Via Santuario","Vertemate Con Minoprio Serre"
"0.76","Colico - Via La Madoneta","Samolaco - Via Vignola"
"0.81","Costa Volpino - Via Nazionale","Darfo Boario Terme"
"0.71","Bergamo - Via Goisis","Vertemate Con Minoprio Serre"
"0.77","Osio Sotto - Via Per Levate","Bergamo - Via Stezzano"
"0.83","Crema - Via XI Febbraio","Cavenago D'Adda"
"0.82","Como Villa Gallia","Castronno"
"0.88","Ferno - Via Di Dio","Arconate SMR"
"0.71","Lecco - Via Sora","Como Villa Gallia"
"0.7","Lanzada Palù","Campodolcino Alpe Motta"
"0.75","Gerola Alta Pescegallo","Barzio Piani Di Bobbio"
"0.85","Valdisotto Oga San Colombano","Livigno Passo Foscagno"
"0.69","Aprica","Campodolcino Alpe Motta"
"0.61","Carona Carisole","Cavargna"
"0.67","Fortunago","Varzi Nivione"
"0.48","Santa Margherita Di Staffora Passo Del Giovà","Casatenovo Tetto"
"0.81","Chiari","Corzano Bargnano"
"0.72","Laveno Mombello - Piazza Matteotti","Varano Borghi"
"0.65","Laveno Mombello Poggio San Elsa","Laveno Mombello - Piazza Matteotti"
"0.7","Oltre Il Colle Zambla","Brembilla"
"0.8","Vercana","Samolaco - Via Vignola"
"0.85","Castronno","Lurago Marinone"
"0.69","Cavargna","San Giovanni Bianco Cornalita"
"0.76","San Giacomo Filippo Lago Truzzo","Madesimo Spluga"
"0.85","Lurago Marinone","Castronno"
"0.75","Spinadesco - Via Battisti","Pieve San Giacomo"
"0.51","Limone Sul Garda","Darfo Boario Terme"
"0.73","Collio Memmo","Capo Di Ponte - Via Briscioli"
"0.57","Ponte In Valtellina Lago Reguzzo","Barzio Piani Di Bobbio"
"0.5","Lanzada Passo Marinelli","Aprica"
"0.57","Piazzatorre","San Giovanni Bianco Cornalita"
"0.77","Campodolcino Alpe Motta","Gordona"
"0.75","Barzio Piani Di Bobbio","Gerola Alta Pescegallo"
"0.75","Clusone SP671","San Giovanni Bianco Cornalita"
"0.6","Bione","San Giovanni Bianco Cornalita"
"0.67","Porlezza Torrente","Sondrio Fondfojanini"
"0.61","Bagolino SP669","San Giovanni Bianco Cornalita"
"0.8","Brembilla","San Giovanni Bianco Cornalita"
"0.85","Varano Borghi","Ferno - Via Di Dio"
"0.54","Puegnago Del Garda","Bergamo - Via Goisis"
"0.38","Sarezzo - Via Della Fonte","Bergamo - Via Stezzano"
"0.77","Gordona","Campodolcino Alpe Motta"
"0.64","Carenno Centro Sportivo","Brembilla"
"0.53","San Siro Alpe Rescascìa","Colico - Via La Madoneta"
